Date,Retail Gasoline Prices Dollars per Gallon
08/29/2022,3.827
08/22/2022,3.88
08/15/2022,3.938
08/8/2022,4.038
08/1/2022,4.192
07/25/2022,4.33
07/18/2022,4.49
07/11/2022,4.646
07/4/2022,4.771
06/27/2022,4.872
06/20/2022,4.962
06/13/2022,5.006
06/6/2022,4.876
05/30/2022,4.624
05/23/2022,4.593
05/16/2022,4.491
05/9/2022,4.328
05/2/2022,4.182
04/25/2022,4.107
04/18/2022,4.066
04/11/2022,4.091
04/4/2022,4.17
03/28/2022,4.231
03/21/2022,4.239
03/14/2022,4.315
03/7/2022,4.102
02/28/2022,3.608
02/21/2022,3.53
02/14/2022,3.487
02/7/2022,3.444
01/31/2022,3.368
01/24/2022,3.323
01/17/2022,3.306
01/10/2022,3.295
01/3/2022,3.281
12/27/2021,3.275
12/20/2021,3.295
12/13/2021,3.315
12/6/2021,3.341
11/29/2021,3.38
11/22/2021,3.395
11/15/2021,3.399
11/8/2021,3.41
11/1/2021,3.39
10/25/2021,3.383
10/18/2021,3.322
10/11/2021,3.267
10/4/2021,3.19
09/27/2021,3.175
09/20/2021,3.184
09/13/2021,3.165
09/6/2021,3.176
08/30/2021,3.139
08/23/2021,3.145
08/16/2021,3.174
08/9/2021,3.172
08/2/2021,3.159
07/26/2021,3.136
07/19/2021,3.153
07/12/2021,3.133
07/5/2021,3.122
06/28/2021,3.091
06/21/2021,3.06
06/14/2021,3.069
06/7/2021,3.035
05/31/2021,3.027
05/24/2021,3.02
05/17/2021,3.028
05/10/2021,2.961
05/3/2021,2.89
04/26/2021,2.872
04/19/2021,2.855
04/12/2021,2.849
04/5/2021,2.857
03/29/2021,2.852
03/22/2021,2.865
03/15/2021,2.853
03/8/2021,2.771
03/1/2021,2.711
02/22/2021,2.633
02/15/2021,2.501
02/8/2021,2.461
02/1/2021,2.409
01/25/2021,2.392
01/18/2021,2.379
01/11/2021,2.317
01/4/2021,2.249
12/28/2020,2.243
12/21/2020,2.224
12/14/2020,2.158
12/7/2020,2.156
11/30/2020,2.12
11/23/2020,2.102
11/16/2020,2.111
11/9/2020,2.096
11/2/2020,2.112
10/26/2020,2.143
10/19/2020,2.15
10/12/2020,2.167
10/5/2020,2.172
09/28/2020,2.169
09/21/2020,2.168
09/14/2020,2.183
09/7/2020,2.211
08/31/2020,2.222
08/24/2020,2.182
