Date,Price FOB Dollars per Barrel
08/26/2022,94.47
08/19/2022,91.81
08/12/2022,94.65
08/5/2022,94.01
07/29/2022,99.6
07/22/2022,102.24
07/15/2022,99.92
07/8/2022,103.32
07/1/2022,110.96
06/24/2022,107.88
06/17/2022,116.46
06/10/2022,120.43
06/3/2022,116.37
05/27/2022,113.38
05/20/2022,112.18
05/13/2022,105
05/6/2022,106.69
04/29/2022,102.85
04/22/2022,104.02
04/15/2022,101.46
04/8/2022,99.21
04/1/2022,103.89
03/25/2022,113.69
03/18/2022,100.43
03/11/2022,113.39
03/4/2022,106.8
02/25/2022,92.18
02/18/2022,92.89
02/11/2022,90.61
02/4/2022,89.6
01/28/2022,86.94
01/21/2022,85.93
01/14/2022,81.52
01/7/2022,77.86
12/31/2021,76.05
12/24/2021,71.63
12/17/2021,71.18
12/10/2021,71.31
12/3/2021,66.89
11/26/2021,77.79
11/19/2021,78.99
11/12/2021,81.93
11/5/2021,81.79
10/29/2021,83.84
10/22/2021,83.48
10/15/2021,81.18
10/8/2021,78.5
10/1/2021,75.45
09/24/2021,72.18
09/17/2021,71.69
09/10/2021,68.98
09/3/2021,69.15
08/27/2021,67.59
08/20/2021,65.05
08/13/2021,68.33
08/6/2021,69.5
07/30/2021,72.75
07/23/2021,69.68
07/16/2021,73.19
07/9/2021,73.35
07/2/2021,74.07
06/25/2021,73.48
06/18/2021,71.55
06/11/2021,70.11
06/4/2021,68.74
05/28/2021,66.4
05/21/2021,64.11
05/14/2021,65.07
05/7/2021,65.1
04/30/2021,63.47
04/23/2021,62.18
04/16/2021,61.93
04/9/2021,59.35
04/2/2021,60.66
03/26/2021,59.95
03/19/2021,63.22
03/12/2021,65.02
03/5/2021,62.29
02/26/2021,62.3
02/19/2021,60.17
02/12/2021,58.54
02/5/2021,55.39
01/29/2021,52.52
01/22/2021,52.82
01/15/2021,52.75
01/8/2021,50.09
01/1/2021,47.98
12/25/2020,47.73
12/18/2020,47.97
12/11/2020,46.04
12/4/2020,45.37
11/27/2020,44.4
11/20/2020,41.52
11/13/2020,40.66
11/6/2020,37.71
10/30/2020,37.32
10/23/2020,40.43
10/16/2020,40.33
10/9/2020,40.19
10/2/2020,38.99
09/25/2020,39.78
09/18/2020,39.55
09/11/2020,37.38
09/4/2020,41.84
08/28/2020,42.93
08/21/2020,42.73
08/14/2020,42.08
08/7/2020,41.57
07/31/2020,40.69
07/24/2020,41.34
07/17/2020,40.57
07/10/2020,40.44
07/3/2020,39.85
06/26/2020,39.22
06/19/2020,38.35
06/12/2020,37.87
06/5/2020,37.32
05/29/2020,34.19
05/22/2020,33.1
05/15/2020,26.4
05/8/2020,23.46
05/1/2020,15.71
04/24/2020,3.32
04/17/2020,20.12
04/10/2020,24.41
04/3/2020,21.69
03/27/2020,19.44
03/20/2020,24.19
03/13/2020,32.39
03/6/2020,45.57
02/28/2020,48.36
02/21/2020,53.14
02/14/2020,50.83
02/7/2020,50.36
01/31/2020,52.7
01/24/2020,56.15
01/17/2020,58.29
01/10/2020,60.84
01/3/2020,62.09
12/27/2019,61.29
12/20/2019,60.75
12/13/2019,59.25
12/6/2019,57.64
11/29/2019,58.07
11/22/2019,56.9
11/15/2019,56.85
11/8/2019,56.69
11/1/2019,55.17
10/25/2019,55.2
10/18/2019,53.49
10/11/2019,53.27
10/4/2019,53.12
09/27/2019,56.9
09/20/2019,59.33
09/13/2019,56.16
09/6/2019,55.73
08/30/2019,55.21
08/23/2019,55.5
08/16/2019,55.31
08/9/2019,53.28
08/2/2019,56.55
07/26/2019,56.05
07/19/2019,56.74
07/12/2019,59.02
07/5/2019,57.32
06/28/2019,58.38
06/21/2019,54.75
06/14/2019,52.52
06/7/2019,52.97
05/31/2019,56.93
05/24/2019,60.72
05/17/2019,62.1
05/10/2019,61.81
05/3/2019,62.9
04/26/2019,65.28
04/19/2019,63.8
04/12/2019,64.1
04/5/2019,62.36
03/29/2019,59.49
03/22/2019,59.44
03/15/2019,57.81
03/8/2019,56.35
03/1/2019,56.12
02/22/2019,56.74
02/15/2019,53.88
02/8/2019,53.53
02/1/2019,53.63
01/25/2019,52.88
01/18/2019,51.92
01/11/2019,50.78
01/4/2019,47
12/28/2018,45.22
12/21/2018,46.98
12/14/2018,51.54
12/7/2018,52.63
11/30/2018,51.01
11/23/2018,54.99
11/16/2018,56.92
11/9/2018,61.57
11/2/2018,65.06
10/26/2018,67.43
10/19/2018,70.24
10/12/2018,72.96
10/5/2018,75.13
09/28/2018,72.84
09/21/2018,70.28
09/14/2018,68.96
09/7/2018,68.51
08/31/2018,69.66
08/24/2018,68.1
08/17/2018,66.15
08/10/2018,67.9
08/3/2018,69.46
07/27/2018,70.01
07/20/2018,68.95
07/13/2018,71.96
07/6/2018,73.73
06/29/2018,74.03
06/22/2018,66.32
06/15/2018,66.21
06/8/2018,65.35
06/1/2018,66.96
05/25/2018,70.98
05/18/2018,71.3
05/11/2018,70.56
05/4/2018,68.38
04/27/2018,67.91
04/20/2018,67.55
04/13/2018,66.02
04/6/2018,63.07
03/30/2018,64.97
03/23/2018,64.11
03/16/2018,61.28
03/9/2018,61.65
03/2/2018,62.07
02/23/2018,62.47
02/16/2018,60.56
02/9/2018,62.01
02/2/2018,65.32
01/26/2018,65.14
01/19/2018,63.77
01/12/2018,63.26
01/5/2018,61.36
12/29/2017,59.88
12/22/2017,57.87
12/15/2017,57.17
12/8/2017,56.92
12/1/2017,57.81
11/24/2017,57.47
11/17/2017,55.81
11/10/2017,57.05
11/3/2017,54.59
